,i_dataset,shd_wa,sid_wa,fn_wa,fp_wa,rev_wa
0,0,0,0,0,0,0
0,1,3.0,20.0,1.0,2.0,0.0
0,2,4.0,20.0,1.0,2.0,1.0
0,3,7.0,20.0,6.0,1.0,0.0
0,4,5.0,20.0,1.0,4.0,0.0
0,5,4.0,20.0,0.0,4.0,0.0
0,6,6.0,20.0,2.0,3.0,1.0
0,7,6.0,19.0,0.0,6.0,0.0
0,8,6.0,20.0,1.0,3.0,2.0
0,9,6.0,20.0,2.0,4.0,0.0
0,10,1.0,20.0,0.0,1.0,0.0
