,i_dataset,shd_wa,sid_wa,fn_wa,fp_wa,rev_wa
0,0,0,0,0,0,0
0,1,24.0,76.0,0.0,21.0,3.0
0,2,22.0,90.0,0.0,19.0,3.0
0,3,29.0,86.0,0.0,26.0,3.0
0,4,23.0,89.0,0.0,20.0,3.0
0,5,26.0,90.0,1.0,24.0,1.0
0,6,22.0,81.0,1.0,20.0,1.0
0,7,8.0,71.0,0.0,7.0,1.0
0,8,23.0,85.0,0.0,21.0,2.0
0,9,20.0,90.0,1.0,17.0,2.0
0,10,18.0,83.0,2.0,14.0,2.0
