,i_dataset,shd_w,sid_w,fn_w,fp_w,rev_w,shd_a,sid_a,fn_a,fp_a,rev_a,shd_wa,sid_wa,fn_wa,fp_wa,rev_wa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,12.0,35.0,0.0,5.0,7.0,14.0,,0.0,14.0,0.0,26.0,38.0,0.0,19.0,7.0
0,2,7.0,21.0,0.0,3.0,4.0,19.0,,0.0,19.0,0.0,26.0,44.0,0.0,22.0,4.0
0,3,10.0,59.0,3.0,1.0,6.0,29.0,,0.0,28.0,1.0,40.0,74.0,4.0,30.0,6.0
0,4,14.0,17.0,0.0,8.0,6.0,14.0,,0.0,14.0,0.0,28.0,41.0,0.0,22.0,6.0
0,5,12.0,21.0,0.0,8.0,4.0,19.0,,1.0,18.0,0.0,31.0,45.0,1.0,26.0,4.0
0,6,9.0,35.0,1.0,4.0,4.0,20.0,,1.0,19.0,0.0,29.0,56.0,2.0,23.0,4.0
0,7,1.0,9.0,0.0,0.0,1.0,7.0,,0.0,7.0,0.0,8.0,17.0,0.0,7.0,1.0
0,8,11.0,42.0,1.0,5.0,5.0,24.0,,0.0,24.0,0.0,35.0,56.0,1.0,29.0,5.0
0,9,12.0,3.0,1.0,11.0,0.0,17.0,,1.0,15.0,1.0,30.0,10.0,3.0,27.0,0.0
0,10,11.0,55.0,1.0,3.0,7.0,14.0,,0.0,14.0,0.0,25.0,86.0,1.0,17.0,7.0
