collect_time,2149051_送风温度001,2149052_送风温度001,2149053_送风温度001,2149054_送风温度001,2149055_送风温度001,2149056_送风温度001,2149057_送风温度001,2149058_送风温度001,2149059_送风温度001,2149060_送风温度001,2149061_送风温度001,2149062_送风温度001,2149063_送风温度001,2149064_送风温度001,2149065_送风温度001,2149066_送风温度001,2149067_送风温度001,2149068_送风温度001,2149069_送风温度001,2149070_送风温度001,2157521_冷通道温度,2157522_冷通道温度,2157523_冷通道温度,2157524_冷通道温度,2157525_冷通道温度,2157526_冷通道温度,2157527_冷通道温度,2157528_冷通道温度,2157529_冷通道温度,2157530_冷通道温度,2157531_冷通道温度,2157532_冷通道温度,2157533_冷通道温度,2157534_冷通道温度,2157535_冷通道温度,2157536_冷通道温度,2157537_冷通道温度,2157538_冷通道温度
2023-05-23 16:06:40,25.0,24.1,24.0,24.8000011,24.8000011,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6224861,23.6224861,24.0358658,25.1806183,24.38565,24.0358658,24.41745,23.7814827,23.6542854,24.5764389,24.1948624,24.8626328,24.9580231,24.163063,24.322052,24.2266541
2023-05-23 16:06:50,25.0,24.1,24.0,24.8000011,24.8000011,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6224861,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.41745,23.7814827,23.6542854,24.5764389,24.1948624,24.8626328,25.0216217,24.163063,24.322052,24.2266541
2023-05-23 16:07:00,25.0,24.1,24.0,24.8000011,24.8000011,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6224861,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.7814827,23.6542854,24.5764389,24.1948624,24.8626328,25.0216217,24.163063,24.322052,24.2266541
2023-05-23 16:07:10,25.0,24.2,24.0,24.8000011,24.8000011,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6224861,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.7814827,23.6542854,24.5764389,24.1948624,24.8626328,25.0216217,24.163063,24.322052,24.2266541
2023-05-23 16:07:20,25.0,24.2,24.0,24.8000011,24.8000011,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6224861,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.7814827,23.6542854,24.5764389,24.1948624,24.8626328,25.0216217,24.163063,24.322052,24.2266541
2023-05-23 16:07:30,25.0,24.2,24.0,24.8000011,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6224861,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.7814827,23.6542854,24.5764389,24.2266541,24.8626328,25.0216217,24.163063,24.322052,24.2266541
2023-05-23 16:07:40,25.0,24.2,24.0,24.8000011,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6224861,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.7814827,23.6542854,24.5764389,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:07:50,25.0,24.2,24.0,24.8000011,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6224861,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.7814827,23.6542854,24.5764389,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:08:00,25.0,24.2,24.0,24.8000011,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.7814827,23.6542854,24.6082382,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:08:10,25.0,24.2,24.0,24.8000011,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.7814827,23.6542854,24.6082382,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:08:20,25.0,24.2,24.0,24.8000011,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.813282,23.6542854,24.6082382,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:08:30,25.0,24.2,24.0,24.8000011,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.813282,23.6542854,24.6082382,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:08:40,25.0,24.2,24.0,24.8000011,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.813282,23.6542854,24.6082382,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:08:50,25.0,24.2,24.0,24.9,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.813282,23.6542854,24.6082382,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:09:00,25.0,24.2,24.0,24.9,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.813282,23.6542854,24.6082382,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:09:10,25.0,24.2,24.0,24.9,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9086723,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.8450813,23.6542854,24.6082382,24.2266541,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:09:20,25.0,24.2,24.0,24.9,24.9,24.1,24.1,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.8450813,23.6542854,24.6082382,24.2584534,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:09:30,25.0,24.2,24.0,24.9,24.9,24.1,24.2,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.38565,23.8450813,23.6542854,24.6082382,24.2584534,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:09:40,25.0,24.2,24.0,24.9,24.9,24.1,24.2,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,23.9,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.3538513,23.8450813,23.6542854,24.6082382,24.2584534,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:09:50,25.0,24.2,24.0,24.9,24.9,24.1,24.2,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.38565,24.0358658,24.3538513,23.8450813,23.6542854,24.5764389,24.2584534,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:10:00,25.0,24.2,24.0,24.9,24.9,24.1,24.2,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.41745,24.0358658,24.3538513,23.8450813,23.6542854,24.5764389,24.2584534,24.8626328,25.08522,24.163063,24.322052,24.2266541
2023-05-23 16:10:10,25.0,24.2,24.0,24.9,24.9,24.1,24.2,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.41745,24.0358658,24.3538513,23.8450813,23.6542854,24.5764389,24.2584534,24.8626328,25.08522,24.163063,24.3538513,24.2266541
2023-05-23 16:10:20,25.0,24.2,24.0,24.9,24.9,24.1,24.2,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.41745,24.0358658,24.3538513,23.8450813,23.6542854,24.5764389,24.2902527,24.8626328,25.08522,24.163063,24.3538513,24.2266541
2023-05-23 16:10:30,25.0,24.2,24.0,24.9,24.9,24.1,24.2,24.0,24.1,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.41745,24.0358658,24.3538513,23.8450813,23.6542854,24.5764389,24.2902527,24.8626328,25.148819,24.163063,24.3538513,24.2266541
2023-05-23 16:10:40,25.0,24.2,24.0,24.9,24.9,24.1,24.2,24.0,24.1,24.8000011,25.2,24.1,24.2,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.41745,24.0358658,24.41745,23.8450813,23.6542854,24.5764389,24.2902527,24.8626328,25.148819,24.163063,24.3538513,24.2266541
2023-05-23 16:10:50,25.0,24.3000011,24.0,24.9,24.9,24.1,24.2,24.0,24.2,24.8000011,25.2,24.1,24.2,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0358658,23.9404716,23.6542854,23.6542854,24.0358658,25.1806183,24.41745,24.0676651,24.41745,23.8450813,23.6542854,24.5764389,24.2902527,24.8944321,25.148819,24.163063,24.3538513,24.2266541
2023-05-23 16:11:00,25.0,24.3000011,24.0,24.9,24.9,24.1,24.2,24.0,24.2,24.8000011,25.2,24.1,24.2,24.0,24.0,24.0,24.2,24.1,24.3000011,24.6,24.0676651,23.9404716,23.6542854,23.6542854,24.0676651,25.1806183,24.41745,24.0676651,24.41745,23.876873,23.6542854,24.5764389,24.2902527,24.8944321,25.148819,24.163063,24.38565,24.2266541
2023-05-23 16:11:10,25.0,24.3000011,24.0,24.9,24.9,24.1,24.2,24.0,24.2,24.8000011,25.2,24.1,24.2,24.0,24.0,24.0,24.2,24.2,24.3000011,24.6,24.0676651,23.9404716,23.6542854,23.6542854,24.0676651,25.1806183,24.41745,24.0676651,24.41745,23.876873,23.6542854,24.5764389,24.2902527,24.8944321,25.11702,24.163063,24.38565,24.2266541
2023-05-23 16:11:20,25.0,24.3000011,24.0,24.9,24.9,24.1,24.1,24.0,24.2,24.8000011,25.2,24.1,24.1,24.0,24.0,24.0,24.2,24.2,24.3000011,24.6,24.0676651,23.9404716,23.6542854,23.6542854,24.0676651,25.1806183,24.41745,24.0676651,24.41745,23.876873,23.6542854,24.5764389,24.2902527,24.8944321,25.11702,24.163063,24.38565,24.2266541
