collect_time,2149051_送风温度001,2149052_送风温度001,2149053_送风温度001,2149054_送风温度001,2149055_送风温度001,2149056_送风温度001,2149057_送风温度001,2149058_送风温度001,2149059_送风温度001,2149060_送风温度001,2149061_送风温度001,2149062_送风温度001,2149063_送风温度001,2149064_送风温度001,2149065_送风温度001,2149066_送风温度001,2149067_送风温度001,2149068_送风温度001,2149069_送风温度001,2149070_送风温度001,2157521_冷通道温度,2157522_冷通道温度,2157523_冷通道温度,2157524_冷通道温度,2157525_冷通道温度,2157526_冷通道温度,2157527_冷通道温度,2157528_冷通道温度,2157529_冷通道温度,2157530_冷通道温度,2157531_冷通道温度,2157532_冷通道温度,2157533_冷通道温度,2157534_冷通道温度,2157535_冷通道温度,2157536_冷通道温度,2157537_冷通道温度,2157538_冷通道温度
2023-05-17 13:31:20,25.2,23.9,24.3000011,24.8000011,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7496834,24.38565,24.9580231,24.6082382,24.2584534,24.5446472,24.2584534,23.8450813,24.7990341,24.2584534,24.9580231,25.053421,24.5764389,24.6718369,25.4032059
2023-05-17 13:31:30,25.2,23.9,24.3000011,24.8000011,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7496834,24.38565,24.9580231,24.6082382,24.2584534,24.5446472,24.2584534,23.8450813,24.7990341,24.2584534,24.9580231,25.053421,24.5764389,24.6718369,25.3714066
2023-05-17 13:31:40,25.2,23.9,24.3000011,24.8000011,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7496834,24.38565,24.9580231,24.6082382,24.2584534,24.5446472,24.2584534,23.813282,24.7990341,24.2584534,24.9580231,25.053421,24.5764389,24.6718369,25.3714066
2023-05-17 13:31:50,25.2,23.9,24.3000011,24.8000011,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7496834,24.38565,24.9580231,24.6082382,24.2584534,24.5446472,24.2584534,23.813282,24.7990341,24.2584534,24.9580231,25.053421,24.5764389,24.6718369,25.3714066
2023-05-17 13:32:00,25.2,23.9,24.3000011,24.8000011,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7496834,24.38565,24.8944321,24.6082382,24.2584534,24.5446472,24.2584534,23.813282,24.7990341,24.2584534,24.9580231,25.053421,24.5764389,24.6718369,25.3714066
2023-05-17 13:32:10,25.2,23.9,24.3000011,24.9,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7496834,24.38565,24.8944321,24.6082382,24.2584534,24.5446472,24.2584534,23.813282,24.7672348,24.2584534,24.9580231,25.053421,24.5764389,24.6718369,25.3714066
2023-05-17 13:32:20,25.2,23.9,24.3000011,24.9,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7496834,24.38565,24.8944321,24.6400375,24.2584534,24.5446472,24.2584534,23.7814827,24.7672348,24.2584534,24.9580231,25.053421,24.5764389,24.6718369,25.3396072
2023-05-17 13:32:30,25.2,23.9,24.3000011,24.9,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7496834,24.38565,24.8944321,24.6400375,24.2584534,24.5446472,24.2584534,23.7814827,24.7672348,24.2584534,24.9580231,25.053421,24.5764389,24.6718369,25.3396072
2023-05-17 13:32:40,25.2,23.9,24.3000011,24.9,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7178841,24.38565,24.8944321,24.6400375,24.2584534,24.5446472,24.2584534,23.7814827,24.7672348,24.2584534,24.9580231,25.1806183,24.5764389,24.6718369,25.3396072
2023-05-17 13:32:50,25.2,23.9,24.3000011,24.9,24.8000011,24.4,24.1,24.1,23.9,24.8000011,25.1,24.2,24.1,24.0,24.3000011,24.4,24.4,24.2,23.9,24.7,24.0994644,24.0040665,23.6860847,23.7178841,24.38565,24.8944321,24.6400375,24.2584534,24.5446472,24.2584534,23.7814827,24.7672348,24.2584534,24.9580231,25.1806183,24.5764389,24.6718369,25.3396072
