collect_time,2149051_送风温度001,2149052_送风温度001,2149053_送风温度001,2149054_送风温度001,2149055_送风温度001,2149056_送风温度001,2149057_送风温度001,2149058_送风温度001,2149059_送风温度001,2149060_送风温度001,2149061_送风温度001,2149062_送风温度001,2149063_送风温度001,2149064_送风温度001,2149065_送风温度001,2149066_送风温度001,2149067_送风温度001,2149068_送风温度001,2149069_送风温度001,2149070_送风温度001,2157521_冷通道温度,2157522_冷通道温度,2157523_冷通道温度,2157524_冷通道温度,2157525_冷通道温度,2157526_冷通道温度,2157527_冷通道温度,2157528_冷通道温度,2157529_冷通道温度,2157530_冷通道温度,2157531_冷通道温度,2157532_冷通道温度,2157533_冷通道温度,2157534_冷通道温度,2157535_冷通道温度,2157536_冷通道温度,2157537_冷通道温度,2157538_冷通道温度
2023-05-24 13:02:20,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.2,24.2,23.7,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6542854,23.3363,23.2409019,23.7496834,25.11702,24.1948624,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.8450813,24.5446472,24.38565,24.0676651,23.972271,24.0358658
2023-05-24 13:02:30,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.2,24.2,23.7,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6542854,23.3363,23.2409019,23.7496834,25.11702,24.1948624,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.876873,24.5446472,24.38565,24.0676651,23.972271,24.0358658
2023-05-24 13:02:40,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.2,24.2,23.7,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6542854,23.3363,23.2409019,23.7496834,25.11702,24.1948624,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.876873,24.5446472,24.38565,24.0676651,23.972271,24.0358658
2023-05-24 13:02:50,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.2,24.2,23.7,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6542854,23.3363,23.2409019,23.7496834,25.11702,24.1948624,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.876873,24.5446472,24.38565,24.0676651,23.972271,24.0358658
2023-05-24 13:03:00,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.2,24.2,23.6,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6542854,23.3363,23.2409019,23.7496834,25.11702,24.1948624,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.876873,24.5446472,24.38565,24.0676651,23.972271,24.0358658
2023-05-24 13:03:10,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.2,24.2,23.6,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6542854,23.3363,23.2409019,23.7496834,25.11702,24.163063,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.876873,24.5446472,24.38565,24.0676651,23.972271,24.0358658
2023-05-24 13:03:20,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.2,24.2,23.6,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6542854,23.3363,23.2409019,23.7496834,25.11702,24.163063,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.876873,24.5446472,24.38565,24.0676651,23.972271,24.0358658
2023-05-24 13:03:30,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.2,24.2,23.6,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6224861,23.3363,23.2409019,23.7496834,25.11702,24.163063,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.876873,24.5446472,24.38565,24.0676651,23.972271,24.0358658
2023-05-24 13:03:40,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.3000011,24.2,23.6,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6224861,23.3363,23.2409019,23.7496834,25.11702,24.163063,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.876873,24.5446472,24.322052,24.0676651,23.972271,24.0358658
2023-05-24 13:03:50,24.6,23.7,23.6,24.3000011,24.6,23.8000011,24.3000011,24.2,23.6,24.5,24.9,23.7,23.8000011,23.7,23.6,23.7,23.7,23.8000011,23.6,24.1,23.7814827,23.6224861,23.3363,23.2409019,23.7496834,25.2760086,24.163063,23.7496834,23.972271,23.3998985,23.3363,24.2902527,23.876873,24.5446472,24.322052,24.0676651,23.972271,24.0358658
