,i_dataset,shd_w,sid_w,fn_w,fp_w,rev_w,shd_a,sid_a,fn_a,fp_a,rev_a,shd_wa,sid_wa,fn_wa,fp_wa,rev_wa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,7.0,12.0,6.0,0.0,1.0,10.0,20.0,10.0,0.0,0.0,17.0,33.0,16.0,0.0,1.0
0,2,7.0,14.0,7.0,0.0,0.0,15.0,20.0,15.0,0.0,0.0,22.0,39.0,22.0,0.0,0.0
0,3,9.0,20.0,8.0,0.0,1.0,14.0,20.0,14.0,0.0,0.0,23.0,41.0,22.0,0.0,1.0
0,4,5.0,14.0,3.0,0.0,2.0,12.0,20.0,12.0,0.0,0.0,17.0,41.0,15.0,0.0,2.0
0,5,6.0,7.0,6.0,0.0,0.0,17.0,20.0,17.0,0.0,0.0,23.0,41.0,23.0,0.0,0.0
0,6,7.0,19.0,6.0,0.0,1.0,13.0,20.0,13.0,0.0,0.0,20.0,41.0,19.0,0.0,1.0
0,7,9.0,16.0,9.0,0.0,0.0,14.0,20.0,14.0,0.0,0.0,23.0,38.0,23.0,0.0,0.0
0,8,9.0,16.0,9.0,0.0,0.0,9.0,16.0,9.0,0.0,0.0,18.0,31.0,18.0,0.0,0.0
0,9,8.0,16.0,8.0,0.0,0.0,13.0,20.0,12.0,1.0,0.0,21.0,42.0,20.0,1.0,0.0
0,10,5.0,9.0,5.0,0.0,0.0,15.0,20.0,14.0,1.0,0.0,20.0,39.0,19.0,1.0,0.0
