,i_dataset,shd_w,sid_w,fn_w,fp_w,rev_w,shd_a,sid_a,fn_a,fp_a,rev_a,shd_wa,sid_wa,fn_wa,fp_wa,rev_wa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,11.0,20.0,0.0,11.0,0.0,3.0,,0.0,3.0,0.0,14.0,21.0,0.0,14.0,0.0
0,2,11.0,20.0,0.0,11.0,0.0,7.0,,0.0,7.0,0.0,18.0,21.0,0.0,18.0,0.0
0,3,11.0,20.0,0.0,11.0,0.0,9.0,,1.0,7.0,1.0,21.0,23.0,2.0,19.0,0.0
0,4,11.0,20.0,1.0,10.0,0.0,10.0,,1.0,9.0,0.0,21.0,23.0,2.0,19.0,0.0
0,5,6.0,20.0,0.0,6.0,0.0,4.0,,1.0,3.0,0.0,10.0,26.0,1.0,9.0,0.0
0,6,13.0,20.0,1.0,12.0,0.0,8.0,,2.0,6.0,0.0,21.0,26.0,3.0,18.0,0.0
0,7,11.0,20.0,0.0,11.0,0.0,6.0,,0.0,6.0,0.0,17.0,24.0,0.0,17.0,0.0
0,8,11.0,20.0,1.0,10.0,0.0,9.0,,3.0,6.0,0.0,20.0,31.0,4.0,16.0,0.0
0,9,12.0,20.0,0.0,12.0,0.0,11.0,,1.0,8.0,2.0,25.0,25.0,3.0,22.0,0.0
0,10,7.0,18.0,1.0,6.0,0.0,7.0,,0.0,7.0,0.0,14.0,21.0,1.0,13.0,0.0
