,i_dataset,shd_wa,sid_wa,fn_wa,fp_wa,rev_wa
0,0,0,0,0,0,0
0,1,15.0,20.0,13.0,0.0,2.0
0,2,18.0,20.0,17.0,0.0,1.0
0,3,16.0,20.0,15.0,0.0,1.0
0,4,12.0,20.0,11.0,0.0,1.0
0,5,17.0,20.0,16.0,0.0,1.0
0,6,16.0,20.0,16.0,0.0,0.0
0,7,12.0,20.0,8.0,1.0,3.0
0,8,12.0,20.0,12.0,0.0,0.0
0,9,17.0,20.0,16.0,1.0,0.0
0,10,14.0,20.0,13.0,0.0,1.0
